"","Anthophora_terminalis","Stelis_verticalis","Anthidium_manicatum","Megachile_campanulae","Megachile_pugnata","Megachile_rotundata","Megachile_frigida","Megachile_brevis","Megachile_mendica","Megachile_centucularis","Megachile_inermis","Megachile_relativa","Megachile_sculpturalis","Coelioxys_alternata","Coelioxys_moesta","Coelioxys_sayi","Chelostoma_campanularum","Chelostoma_rapunculi","Heriades_crucifera","Heriades_variolosa","Hoplitis_producta","Hoplitis_spoliata","Hoplitis_truncata","Osmia_lignaria","Osmia_atriventis","Osmia_pumila","Osmia_caerulescens","Hylaeus_modestus","Hylaeus_affinis","Hylaeus_punctatus","Hylaeus_hyalinatus","Hylaeus_leptocephalus","Hylaeus_annulatus","Hylaeus_mesillae","Hylaeus_verticalis"
"AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"AAB",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0
"AAC",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"AAE",0,0,0,10,17,40,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,12,0,0,7,58,10,20,0,0,0,0,0,0
"AAF",0,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,33,0,34,0,0,0,26,4,0,0,0,0,0,0,0
"AAG",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,18,0,0,0,0,15,0,0,45,0,0,0,0,0,0,0,0
"AAH",0,0,0,0,0,10,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"AAI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"AAJ",0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"AAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,32,31,0,0,0,0,0,0,0,0
"AAL",0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"AAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
"AAN",0,0,0,2,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"AAO",0,0,0,0,0,27,0,0,0,0,0,11,0,0,0,0,0,0,16,0,0,0,0,0,4,15,140,0,0,0,0,0,5,0,0
"AAP",0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,0,21,0,0,0,0,0,0,0,0,0
"AAQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0
