"","n.patches_250_agriculture","n.patches_250_bare_earth","n.patches_250_grass","n.patches_250_tree_canopy","n.patches_250_urban","n.patches_250_water","total.area_250_agriculture","total.area_250_bare_earth","total.area_250_grass","total.area_250_tree_canopy","total.area_250_urban","total.area_250_water","prop.landscape_250_agriculture","prop.landscape_250_bare_earth","prop.landscape_250_grass","prop.landscape_250_tree_canopy","prop.landscape_250_urban","prop.landscape_250_water","patch.density_250_agriculture","patch.density_250_bare_earth","patch.density_250_grass","patch.density_250_tree_canopy","patch.density_250_urban","patch.density_250_water","total.edge_250_agriculture","total.edge_250_bare_earth","total.edge_250_grass","total.edge_250_tree_canopy","total.edge_250_urban","total.edge_250_water","edge.density_250_agriculture","edge.density_250_bare_earth","edge.density_250_grass","edge.density_250_tree_canopy","edge.density_250_urban","edge.density_250_water","landscape.shape.index_250_agriculture","landscape.shape.index_250_bare_earth","landscape.shape.index_250_grass","landscape.shape.index_250_tree_canopy","landscape.shape.index_250_urban","landscape.shape.index_250_water","largest.patch.index_250_agriculture","largest.patch.index_250_bare_earth","largest.patch.index_250_grass","largest.patch.index_250_tree_canopy","largest.patch.index_250_urban","largest.patch.index_250_water","mean.patch.area_250_agriculture","mean.patch.area_250_bare_earth","mean.patch.area_250_grass","mean.patch.area_250_tree_canopy","mean.patch.area_250_urban","mean.patch.area_250_water","sd.patch.area_250_agriculture","sd.patch.area_250_bare_earth","sd.patch.area_250_grass","sd.patch.area_250_tree_canopy","sd.patch.area_250_urban","sd.patch.area_250_water","min.patch.area_250_agriculture","min.patch.area_250_bare_earth","min.patch.area_250_grass","min.patch.area_250_tree_canopy","min.patch.area_250_urban","min.patch.area_250_water","max.patch.area_250_agriculture","max.patch.area_250_bare_earth","max.patch.area_250_grass","max.patch.area_250_tree_canopy","max.patch.area_250_urban","max.patch.area_250_water","mean.perim.area.ratio_250_agriculture","mean.perim.area.ratio_250_bare_earth","mean.perim.area.ratio_250_grass","mean.perim.area.ratio_250_tree_canopy","mean.perim.area.ratio_250_urban","mean.perim.area.ratio_250_water","sd.perim.area.ratio_250_agriculture","sd.perim.area.ratio_250_bare_earth","sd.perim.area.ratio_250_grass","sd.perim.area.ratio_250_tree_canopy","sd.perim.area.ratio_250_urban","sd.perim.area.ratio_250_water","min.perim.area.ratio_250_agriculture","min.perim.area.ratio_250_bare_earth","min.perim.area.ratio_250_grass","min.perim.area.ratio_250_tree_canopy","min.perim.area.ratio_250_urban","min.perim.area.ratio_250_water","max.perim.area.ratio_250_agriculture","max.perim.area.ratio_250_bare_earth","max.perim.area.ratio_250_grass","max.perim.area.ratio_250_tree_canopy","max.perim.area.ratio_250_urban","max.perim.area.ratio_250_water","mean.shape.index_250_agriculture","mean.shape.index_250_bare_earth","mean.shape.index_250_grass","mean.shape.index_250_tree_canopy","mean.shape.index_250_urban","mean.shape.index_250_water","sd.shape.index_250_agriculture","sd.shape.index_250_bare_earth","sd.shape.index_250_grass","sd.shape.index_250_tree_canopy","sd.shape.index_250_urban","sd.shape.index_250_water","min.shape.index_250_agriculture","min.shape.index_250_bare_earth","min.shape.index_250_grass","min.shape.index_250_tree_canopy","min.shape.index_250_urban","min.shape.index_250_water","max.shape.index_250_agriculture","max.shape.index_250_bare_earth","max.shape.index_250_grass","max.shape.index_250_tree_canopy","max.shape.index_250_urban","max.shape.index_250_water","prop.like.adjacencies_250_agriculture","prop.like.adjacencies_250_bare_earth","prop.like.adjacencies_250_grass","prop.like.adjacencies_250_tree_canopy","prop.like.adjacencies_250_urban","prop.like.adjacencies_250_water","aggregation.index_250_agriculture","aggregation.index_250_bare_earth","aggregation.index_250_grass","aggregation.index_250_tree_canopy","aggregation.index_250_urban","aggregation.index_250_water","lanscape.division.index_250_agriculture","lanscape.division.index_250_bare_earth","lanscape.division.index_250_grass","lanscape.division.index_250_tree_canopy","lanscape.division.index_250_urban","lanscape.division.index_250_water","patch.cohesion.index_250_agriculture","patch.cohesion.index_250_bare_earth","patch.cohesion.index_250_grass","patch.cohesion.index_250_tree_canopy","patch.cohesion.index_250_urban","patch.cohesion.index_250_water","edge.density_250_total"
"AAA",0,1,495,113,25,9,0,397.080000000037,49150.4400000046,45823.6800000043,100791.360000009,81.0000000000076,0,0.00202340397819934,0.250456320706779,0.233504121103388,0.513603401813542,0.000412752398091433,0,5.09570861841228e-06,0.00252237576611408,0.000575815073880587,0.000127392715460307,4.58613775657105e-05,0,129.600000000006,21471.600000001,12170.4000000006,17887.2000000008,128.400000000006,0,0.000660403836946262,0.109413017171106,0.0620168121695277,0.0911479591992683,0.000654288986604167,NA,1.61194029850746,24.212449255751,14.2044817927171,14.0755429650614,3.56666666666667,NA,0.00202340397819934,0.0749870212301489,0.0454045982451602,0.463519108601577,0.000265995989881146,NA,397.080000000037,99.2938181818274,405.519292035436,4031.65440000038,9.00000000000084,NA,NA,733.14969365191,928.581832688781,18144.4536423902,16.9305286391197,NA,397.080000000037,0.360000000000034,0.360000000000034,0.360000000000034,0.360000000000034,NA,397.080000000037,14715.7200000014,8910.36000000083,90962.6400000085,52.2000000000049,NA,0.326382592928362,3.84311466944409,0.641041863120764,2.46001552737754,3.5846531576753,NA,NA,2.26203697378315,0.92288417740409,2.4454868686783,1.7693158341209,NA,0.326382592928362,0.0880690853046905,0.137326178524026,0.154883599018269,1.24137931034477,NA,0.326382592928362,6.66666666666636,6.66666666666636,6.66666666666636,6.66666666666636,NA,1.61194029850746,1.44562549514201,1.40150024196725,1.89736154123571,1.26865961199295,NA,NA,0.689201126899881,0.423916471112897,2.36534570033979,0.356109794351547,NA,1.61194029850746,1,1,1,1,NA,1.61194029850746,7.33502538071066,4.15555555555556,13.0347912524851,2.16,NA,0.906655142610199,0.877003344205725,0.923375063274881,0.948140236371417,0.615798922800718,NA,98.083216456288,93.700770052769,96.286171226887,97.522423791316,81.8615751789976,NA,0.999995905836341,0.992978479778147,0.997009831485917,0.784281132503237,0.999999921526306,NA,9.68576257982187,9.89004590969412,9.84312412411735,9.96488133970948,8.98734107777113,0.263892481363452
"AAB",0,0,641,128,101,1,0,0,61679.1599999914,61848.3599999914,72713.8799999898,5.7599999999992,0,0,0.314293261619684,0.31515543970165,0.37052194793545,2.93507432158509e-05,0,0,0.00326628930579219,0.00065223873813011,0.00051465712930579,5.09561514164149e-06,0,0,25244.3999999982,15381.5999999989,19700.3999999986,10.7999999999992,0,0,0.128635746881645,0.0783787138626672,0.100385656536387,5.50326435297242e-05,NA,NA,25.4070048309179,15.4620024125452,18.2614015572859,1.125,NA,NA,0.087373493710686,0.0584905279648378,0.274944921495934,2.93507432158509e-05,NA,NA,96.2233385335279,483.190312499933,719.939405940494,5.7599999999992,NA,NA,791.953167828936,1304.50433047913,5363.35700727628,NA,NA,NA,0.35999999999995,0.35999999999995,0.35999999999995,5.7599999999992,NA,NA,17146.7999999976,11478.5999999984,53957.1599999925,5.7599999999992,NA,NA,4.01070852901451,0.85444132183026,2.11274822581557,1.87500000000013,NA,NA,2.2968726865819,1.28591506500111,2.26262199984427,NA,NA,NA,0.0829309258870518,0.130734003632931,0.218195323845822,1.87500000000013,NA,NA,6.66666666666713,6.66666666666713,6.66666666666713,1.87500000000013,NA,NA,1.42871318476307,1.45964558379037,1.65332181933475,1.125,NA,NA,0.652290937572944,0.515301069053383,1.24112004897583,NA,NA,NA,1,1,1,1.125,NA,NA,5.13131313131313,4.29608938547486,12.6593548387097,1.125,NA,NA,0.884316426495536,0.928073621008922,0.921895033814403,0.560975609756098,NA,NA,94.0880661373649,96.5023499517173,96.150019723768,100,NA,NA,0.98942338920549,0.993612422600098,0.923950006607694,0.999999999138534,NA,NA,9.90041440643041,9.87575032415955,9.95332300046898,7.48984193883567,0.307455149924229
"AAC",0,3,560,150,187,3,0,3319.2,67231.08,34168.32,90923.4,614.16,0,0.0169125901576796,0.342567998884723,0.174100624408426,0.463289407068802,0.00312937948036892,0,1.52861443941428e-05,0.00285341362024,0.000764307219707142,0.00095283633390157,1.52861443941428e-05,0,501.6,22998,10884,20148,240,0,0.00255584334270068,0.117183582925499,0.0554581318619502,0.102661745751063,0.00122289155153143,NA,2.16580310880829,22.1560693641619,14.7001620745543,16.6898608349901,2.40963855421687,NA,0.0071850993110229,0.248864545194403,0.0219019876879279,0.415673678726823,0.00304133128865866,NA,1106.4,120.0555,227.7888,486.221390374332,204.72,NA,278.411146328591,2068.62472506399,462.000022734419,5973.92683395805,339.643608507506,NA,863.28,0.36,0.36,0.36,4.68,NA,1410.12,48841.2,4298.4,81578.52,596.88,NA,0.154435375514166,3.92413400973796,0.723675543885006,3.36380580546998,1.5187473028245,NA,0.0241139568636836,2.1044222211536,0.94324025861779,1.94630855833935,1.03729734677155,NA,0.127648710748021,0.14007026854377,0.150474595198213,0.125950514396026,0.3437876960193,NA,0.174411933448078,6.66666666666667,6.66666666666667,6.66666666666667,2.30769230769231,NA,1.26051902242378,1.41853174663552,1.32106207904148,1.31685083335894,1.62567750677507,NA,0.127254538173986,0.706156087654811,0.287477096613645,1.00322803506333,0.481493225954205,NA,1.18367346938776,1,1,1,1.125,NA,1.40740740740741,7.73541383989145,2.5625,13.9800629590766,2.08536585365854,NA,0.955668681726588,0.902386476210364,0.908795639888584,0.935660637645616,0.889258028792912,NA,98.766920589686,95.0891072104251,95.5324063063206,96.8690242876753,96.4854310603785,NA,0.999900629850412,0.937685145335852,0.99897222385344,0.826512184358795,0.999990745613471,NA,9.80914743584505,9.95158799239264,9.78081803525878,9.96358399593973,9.73667219810358,0.279082195432744
"AAD",0,0,706,108,174,0,0,0,36203.0400000034,44631.0000000042,115414.560000011,0,0,0,0.184475405174865,0.227420730644703,0.588103864180432,0,0,0,0.00359747789283559,0.000550322397204311,0.000886630528829168,0,0,0,25184.4000000012,12007.2000000006,22617.6000000011,0,0,0,0.128329068334749,0.0611836211825177,0.115249739361193,0,NA,NA,33.0503937007874,14.1929078014184,16.6354810238305,NA,NA,NA,0.0466159758591908,0.0261604923551047,0.463059609087657,NA,NA,NA,51.279093484424,413.250000000039,663.302068965579,NA,NA,NA,390.294348131769,771.779948690111,6918.00818176309,NA,NA,NA,0.360000000000034,1.44000000000013,0.360000000000034,NA,NA,NA,9148.32000000085,5133.96000000048,90874.8000000085,NA,NA,NA,3.8063309432572,0.556268617135885,3.0393137029059,NA,NA,NA,2.17969526498938,0.519236270324461,2.21554384320247,NA,NA,NA,0.205021249803233,0.149575590731812,0.145901834171843,NA,NA,NA,6.66666666666636,4.16666666666647,6.66666666666636,NA,NA,NA,1.44398355207897,1.42548112124005,1.42565600025187,NA,NA,NA,0.714586351377537,0.450932412076392,0.949902382683672,NA,NA,NA,1,1.05882352941176,1,NA,NA,NA,6.14414414414414,3.75313807531381,10.9940298507463,NA,NA,NA,0.81102581995813,0.92242087797919,0.942888309799406,NA,NA,NA,89.8490221603747,96.2381443507452,97.2322863985976,NA,NA,NA,0.997163362319442,0.997866263207664,0.783033722420524,NA,NA,NA,9.85301666100955,9.83131028433481,9.96258466403482,NA,0.30476242887846
"AAE",0,0,461,132,40,1,0,0,61790.0399999914,50626.0799999929,83823.1199999883,0.35999999999995,0,0,0.314870393131662,0.257980957971785,0.427146814404432,1.83449212085634e-06,0,0,0.00234916907698581,0.000672647110980752,0.000203832457872955,5.09581144682388e-06,0,0,22474.7999999984,12476.3999999991,17039.9999999988,2.39999999999983,0,0,0.114527343105069,0.063577381935149,0.0868326270538729,1.22299474723765e-05,NA,NA,22.5922798552473,13.844207723036,14.6997929606625,1,NA,NA,0.0484507714039368,0.0959677863183578,0.350593458201097,1.83449212085634e-06,NA,NA,134.034793926229,383.530909090856,2095.57799999971,0.35999999999995,NA,NA,824.027976000681,1732.55322787357,10827.0649747354,NA,NA,NA,0.35999999999995,0.35999999999995,0.35999999999995,0.35999999999995,NA,NA,9507.95999999867,18832.6799999974,68800.3199999904,0.35999999999995,NA,NA,3.96216607933337,1.14596001707104,1.49896849650676,6.66666666666713,NA,NA,2.28329427583819,1.5162917246006,2.00350032007531,NA,NA,NA,0.0586809542033464,0.0837905173347665,0.117290026246727,6.66666666666713,NA,NA,6.66666666666713,6.66666666666713,6.66666666666713,6.66666666666713,NA,NA,1.43571489172983,1.46497740880407,1.84813891494094,1,NA,NA,0.719309613802734,0.496624787545407,1.70146012649168,NA,NA,NA,1,1,1,1,NA,NA,6.58620689655172,4.0410447761194,11.9348571428571,1,NA,NA,0.896526862740223,0.928702944937991,0.940819031265889,0,NA,NA,94.7729442924348,96.5612021176093,97.1522514729363,0,NA,NA,0.9916740497237,0.989284733723024,0.876721672825843,0.999999999996635,NA,NA,9.89505106757577,9.90565851820126,9.95936191961313,NA,0.264949582041563
"AAF",0,1,389,116,147,0,0,1210.68000000011,79071.1200000074,32045.400000003,83919.9600000078,0,0,0.00616915933968165,0.402915996338495,0.163291025459935,0.427623818861888,0,0,5.0956151416403e-06,0.00198219429009808,0.000591091356430275,0.000749055425821124,0,0,175.200000000008,23679.6000000011,9780.00000000045,18594.0000000009,0,0,0.000892751772815422,0.120662128307991,0.0498351160852445,0.0947478679436642,0,NA,1.25862068965517,21.0373134328358,13.6515912897822,16.0403726708075,NA,NA,0.00616915933968165,0.277610335864223,0.0293580809016548,0.319121458878692,NA,NA,1210.68000000011,203.267660668399,276.253448275888,570.884081632706,NA,NA,NA,2801.311661834,764.956483553623,5236.94157936338,NA,NA,1210.68000000011,0.360000000000034,0.360000000000034,0.360000000000034,NA,NA,1210.68000000011,54480.2400000051,5761.44000000054,62626.6800000058,NA,NA,0.144712062642475,3.55854757961505,0.603241112487573,3.1308164480063,NA,NA,NA,2.00054455073792,0.613645605033598,1.8714415617036,NA,NA,0.144712062642475,0.0803179711460402,0.116669919545459,0.15322387138792,NA,NA,0.144712062642475,6.66666666666636,6.66666666666636,6.66666666666636,NA,NA,1.25862068965517,1.47648098139465,1.35369536167092,1.4719083167542,NA,NA,NA,0.83513509593055,0.416406251251446,1.08424221132543,NA,NA,1.25862068965517,1,1,1,NA,NA,1.25862068965517,10.4223363286264,4.41732283464567,11.7317365269461,NA,NA,0.957508731082654,0.914020613615618,0.912450316897626,0.93566762227615,NA,NA,99.5461422087746,95.7122912037523,95.7431819334622,96.8772030881923,NA,NA,0.999961941473042,0.920524306183663,0.998022850104077,0.89478759385245,NA,NA,9.81425004668608,9.95311261769796,9.84007500240232,9.95730518766574,NA,0.266137864109715
"AAG",0,4,246,64,131,0,0,3336.11999999953,75609.7199999894,83320.9199999884,33984.3599999953,0,0,0.0169992405648437,0.385270259858899,0.424562774469771,0.173167725106486,0,0,2.03820492846133e-05,0.00125349603100372,0.000326112788553813,0.000667512114071085,0,0,626.399999999956,18160.7999999987,10612.7999999993,10659.5999999993,0,0,0.00319182891797022,0.0925385801619948,0.0540776531619322,0.0543161231385622,0,NA,2.70466321243523,16.5038167938931,9.18380062305296,14.4439024390244,NA,NA,0.00752464495489249,0.219003488999197,0.310298967975317,0.106678626853187,NA,NA,834.029999999884,307.356585365811,1301.88937499982,259.422595419811,NA,NA,670.493170434923,2906.99405900796,7683.62972708732,1870.06901557257,NA,NA,23.3999999999967,0.35999999999995,0.35999999999995,0.35999999999995,NA,NA,1476.71999999979,42979.679999994,60896.5199999915,20935.7999999971,NA,NA,0.518026507468868,3.41014334482391,0.878680430244859,3.00111288960763,NA,NA,0.680791944707007,2.23614705256695,1.31951108607761,1.99588563363229,NA,NA,0.143258426966302,0.0926112060396978,0.0867438730489093,0.178736517719581,NA,NA,1.53846153846165,6.66666666666713,6.66666666666713,6.66666666666713,NA,NA,1.52116187437589,1.53403326402554,1.40583956726177,1.43359453129838,NA,NA,0.415802666521296,0.824429912117266,0.6234287768155,0.861805865166627,NA,NA,1.07594936708861,1,1,1,NA,NA,1.96899224806202,7.07785888077859,5.34872417982989,8.84886128364389,NA,NA,0.945214105793451,0.930448449865346,0.962504610610127,0.910129751877988,NA,NA,98.2062046780437,96.6080303098987,98.2939010371679,95.6064977920898,NA,NA,0.999892738910981,0.945640224496803,0.900612007011579,0.987966951626502,NA,NA,9.81402922898945,9.94684664310114,9.95624550283098,9.92959912374573,NA,0.204124185380459
"AAH",0,0,250,40,18,9,0,0,45083.52,102738.6,48366.72,68.4,0,0,0.229716468039599,0.523489477381828,0.246445532404308,0.000348522174264756,0,0,0.00127383835623083,0.000203814136996933,9.17163616486199e-05,4.585818082431e-05,0,0,14128.8,11204.4,8616,130.8,0,0,0.0719912294700567,0.057090377914211,0.0439015651091394,0.000666472227979972,NA,NA,16.6299435028249,8.73433115060804,9.78201634877384,3.89285714285714,NA,NA,0.0508016927171706,0.24679222025134,0.143222436023252,0.000161420796501571,NA,NA,180.33408,2568.465,2687.04,7.6,NA,NA,952.519430522572,8353.7401472422,6755.16923685419,10.210053868614,NA,NA,0.36,7.92,0.36,0.36,NA,NA,9970.2,48434.76,28108.44,31.68,NA,NA,3.68422354434657,0.560755302752085,1.14556194179162,4.00784350403087,NA,NA,2.3224630791433,0.478183065201376,1.71790337174042,2.27682572943023,NA,NA,0.0974878140232471,0.0509214194428442,0.127388535031847,1.47727272727273,NA,NA,6.66666666666667,2.87878787878788,6.66666666666667,6.66666666666667,NA,NA,1.49621069617413,1.62626183727543,2.14497143778326,1.35938330675173,NA,NA,0.698234561097156,0.743467906711613,1.3941017383486,0.387888657485866,NA,NA,1,1.04545454545455,1,1,NA,NA,4.82089552238806,5.04904632152589,6.56887298747764,2.05263157894737,NA,NA,0.910203708081971,0.96780938688897,0.947949138043526,0.554192229038855,NA,NA,95.5692756129983,98.5487123947474,97.5945068477815,76.9886363636364,NA,NA,0.993923548043119,0.9224887212601,0.976485321886503,0.999999964851755,NA,NA,9.89641470999708,9.94839186902339,9.93945490779586,8.62861827787514,0.173649644721387
"AAI",0,1,468,121,147,0,0,1149.48000000011,33720.4800000031,43538.0400000041,117842.400000011,0,0,0.00585721099167186,0.171823751696812,0.22184943317313,0.600469604138386,0,0,5.09553101547771e-06,0.00238470851524357,0.000616559252872803,0.000749043059275223,0,0,228.000000000011,20805.600000001,12510.0000000006,19485.6000000009,0,0,0.00116178107152897,0.106015580095628,0.0637450930036291,0.0992894791551971,0,NA,1.66666666666667,28.2838499184339,14.9784482758621,14.1816593886463,NA,NA,0.00585721099167186,0.0252137065707892,0.0385790806031478,0.523320614887919,NA,NA,1149.48000000011,72.0523076923144,359.818512396728,801.648979591911,NA,NA,NA,363.29855187235,970.836554950391,8469.29483835777,NA,NA,1149.48000000011,0.360000000000034,0.720000000000067,0.360000000000034,NA,NA,1149.48000000011,4948.20000000046,7571.16000000071,102701.88000001,NA,NA,0.198350558513406,3.4821309248307,0.842640122604356,3.21827224465171,NA,NA,NA,2.08338175463473,0.963528343846515,2.11660323326886,NA,NA,0.198350558513406,0.190811861934848,0.115385224985334,0.134276022990031,NA,NA,0.198350558513406,6.66666666666636,6.66666666666636,6.66666666666636,NA,NA,1.66666666666667,1.49107939739996,1.48489175296593,1.37343746875135,NA,NA,NA,0.755563613566486,0.516228417681296,0.892035587025516,NA,NA,1.66666666666667,1,1,1,NA,NA,1.66666666666667,7.61276595744681,4.39622641509434,10.7502338634238,NA,NA,0.942214111922141,0.830579360348652,0.917361267999191,0.951594680721042,NA,NA,98.7882653061224,91.0428817017721,95.9661168743936,97.6905598016939,NA,NA,0.999965693079399,0.998336535817652,0.99665659518931,0.725636509957428,NA,NA,9.8097253557744,9.8327849400378,9.85942871424554,9.96541285334848,NA,0.270211933325983
"AAJ",0,0,100,43,72,7,0,0,65962.8,8144.28,122001.12,138.6,0,0,0.336121659053804,0.0415001926146057,0.621671894777393,0.000706253554198081,0,0,0.000509562448916365,0.000219111853034037,0.000366884963219782,3.56693714241455e-05,0,0,11164.8,3136.8,10872,214.8,0,0,0.0568916282966143,0.0159839548976085,0.0553996294461871,0.00109454014027235,NA,NA,10.8564760793466,8.6843853820598,7.77682403433476,4.475,NA,NA,0.24791701062132,0.00695063562819878,0.593966576779851,0.000618201163025333,NA,NA,659.628,189.401860465116,1694.46,19.8,NA,NA,4943.11381073619,294.138141171277,13728.9157802495,44.9659070852574,NA,NA,0.36,18.72,0.36,0.36,NA,NA,48652.92,1364.04,116564.04,121.32,NA,NA,2.98377246182811,0.626630732475597,2.09037457007454,4.59496657218773,NA,NA,2.1277583187992,0.244679038092088,1.69796807233756,2.00018931267149,NA,NA,0.111212235565717,0.205894226887364,0.0657218126619496,1.26607319485658,NA,NA,6.66666666666667,1.16279069767442,6.66666666666667,6.66666666666667,NA,NA,1.6216260025627,1.38112624137529,1.52347651720464,1.73230373230373,NA,NA,0.828704434475336,0.363377073164072,0.690812081743404,0.945560149924127,NA,NA,1,1.0625,1,1,NA,NA,6.12635869565217,2.62096774193548,5.60491659350307,3.45945945945946,NA,NA,0.950479556317263,0.890764730463853,0.97361846358125,0.622760800842993,NA,NA,97.689570380987,94.8537100901101,98.8331690360454,80.958904109589,NA,NA,0.936059867524148,0.999865596236965,0.64715559906635,0.999999613742073,NA,NA,9.95342916586341,9.72735796733507,9.96819193272127,9.41137791922283,0.129369752780682
